Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D6, D7, D8, D9",D_SOD-123,53,D,
J1,PinHeader_1x16_P2.54mm_Horizontal,1,Conn_01x16_Pin,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW5, SW50, SW51, SW6, SW7, SW8, SW9",SW_Cherry_MX_1.00u_PCB,49,SW_Push,
SW32,SW_Cherry_MX_6.25u_PCB,1,SW_Push,
SW49,SW_Cherry_MX_2.25u_PCB,1,SW_Push,
"SW52, SW53",SW_Cherry_MX_1.75u_PCB,2,SW_Push,
